name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.100000;-1.730823e+00;1.444005e+01;-4.624853e+00;1.797480e+00;1.384527e+01;6.383943e+00;-1.416878e+00;-1.587550e+01;-8.968019e+00;-4.785093e+00;-1.131987e+01;-1.114848e+01;1.162294e+02;-1.870049e-01;8.207906e-01;8.515382e-01;8.318388e-02;2.450025e+00;6.146702e-01;-1.001985e+00;1.271260e+00;-4.381644e-01;2.240982e+00;4.152253e-01;-1.119462e-01;2.418213e-02;-1.297427e-01;-4.481915e-01;-2.574742e-01;4.159563e-01;-3.615243e-01;-2.540630e-01;1.176878e+00;1.499220e+00;8.914083e-01;-2.317920e-01;1.623792e+00;4.752359e-01;-8.419708e-02
'unknown';0.110000;-4.512272e+00;1.163228e+01;-4.488554e+00;-6.287384e+00;1.882771e+00;-2.697881e-01;-2.769994e+00;-8.818725e+00;-2.535146e+00;-6.111837e+00;-1.060427e+01;-1.625064e+01;1.156508e+02;-3.244795e-01;3.876541e-01;-1.725054e-01;8.780745e-01;2.765277e+00;-4.417629e-02;1.073647e+00;2.370616e+00;1.064567e+00;-1.400707e-01;3.320180e+00;2.522432e+00;-1.746445e-02;7.753632e-03;-7.826177e-01;-1.012989e+00;5.465328e-01;-3.656351e-01;-1.342392e-03;1.612442e+00;1.065320e+00;8.718271e-01;2.947286e-01;1.428334e+00;5.743517e-01;-3.618744e-02
'unknown';0.120000;-3.811863e+00;1.241398e+01;-3.835031e+00;2.850931e+00;1.008600e+01;8.929330e+00;2.491604e+00;-8.991221e+00;-4.350810e+00;-5.679771e+00;2.783838e-01;-1.749220e+01;1.155117e+02;-6.810673e-01;-2.354565e+00;-1.745622e+00;-1.176372e-02;-3.641233e-01;-6.619264e-01;2.424860e+00;3.821977e+00;4.559007e+00;1.526443e+00;2.218782e+00;1.875436e+00;-1.367355e-01;2.793037e-01;-2.729260e-01;-8.698555e-01;-3.754852e-01;-1.117452e+00;-3.776594e-01;1.307264e+00;2.163987e-02;-7.134192e-02;2.796006e-02;-2.712396e-01;3.919939e-01;5.087700e-02
'unknown';0.130000;-4.726626e+00;7.814679e+00;-8.343354e+00;1.296360e+00;1.360327e+01;9.100916e-01;3.700819e+00;-3.763193e+00;1.211576e+00;-9.570155e+00;-3.329674e-01;5.598079e-01;1.153689e+02;3.088567e-01;-1.707616e+00;-3.704910e+00;-1.984374e-01;3.195940e-01;-4.343562e-01;3.729076e+00;2.899089e+00;1.595634e+00;2.886323e+00;3.177023e+00;3.151889e+00;7.311249e-02;4.177935e-01;4.996267e-01;2.110960e-01;-3.373117e-01;-1.446069e+00;-2.793671e-01;9.312069e-01;-6.053783e-01;-1.457940e+00;-1.238260e-01;-1.247732e+00;-5.404438e-01;1.030637e-01
'unknown';0.140000;-5.028982e+00;4.576022e+00;-1.142556e+01;-2.053211e+00;6.164408e+00;2.484371e+00;7.472014e+00;7.066212e-01;1.195365e+01;4.576280e+00;-5.361609e+00;-1.017652e+01;1.156867e+02;8.928457e-01;5.037957e-01;-1.731537e+00;-1.255986e+00;-1.914391e+00;-1.078537e+00;4.206621e+00;1.115222e+00;-1.060407e+00;8.675849e-01;-8.693943e-01;1.533295e+00;2.332787e-01;4.298976e-01;9.964873e-01;1.221024e+00;5.305189e-02;-8.121994e-01;-5.416408e-01;-9.635661e-02;-1.081315e+00;-2.401834e+00;-1.150846e+00;-1.132758e+00;-3.652226e-01;1.380451e-01
'unknown';0.150000;-2.359429e+00;7.013176e+00;-1.921784e+01;-4.827499e+00;5.441537e+00;7.809100e-01;1.338518e+01;8.278012e-01;-2.709210e+00;3.191754e+00;8.100845e+00;-4.149034e+00;1.159289e+02;9.775311e-01;1.456607e+00;8.759320e-01;-1.863723e-01;-3.689936e+00;-1.232706e+00;4.838801e+00;6.971022e-01;-3.415429e+00;-4.297720e-01;-1.374393e+00;-8.716297e-03;3.128471e-01;-4.103989e-02;4.177144e-01;1.613208e+00;7.602844e-02;-3.383821e-01;-5.175372e-01;-1.765828e+00;-1.096592e+00;-8.891686e-01;-1.244789e+00;-1.082592e+00;-4.872636e-01;-7.615584e-03
'unknown';0.160000;-5.312330e-01;1.533371e+01;-7.055475e+00;-3.670712e-01;4.594908e+00;3.601236e+00;1.868253e+01;-5.710606e+00;-7.692453e+00;-7.722801e+00;-8.285494e+00;-7.471299e+00;1.163981e+02;1.134084e+00;1.045759e+00;2.069077e+00;2.474632e-01;-2.420355e+00;-2.970955e+00;1.388214e+00;-4.836023e-01;-4.944633e+00;-2.569742e+00;-1.169300e+00;1.629626e+00;4.336227e-01;-3.675850e-01;-4.272355e-01;4.854996e-01;-7.665179e-02;9.854063e-01;2.825468e-01;-2.636090e+00;-1.086714e+00;4.178812e-01;2.463150e-03;1.644912e-01;7.019867e-02;-1.626697e-01
'unknown';0.170000;-2.087845e+00;9.718868e+00;-6.148737e+00;-4.785711e-01;-4.061666e+00;-5.811872e+00;2.228957e+01;2.930932e+00;-6.042513e+00;-5.569475e+00;-5.742990e+00;-8.363835e-01;1.165774e+02;-1.696163e-02;1.099746e-01;2.460826e+00;-5.700200e-01;-1.119334e+00;-2.075834e+00;-3.690863e+00;-1.784457e+00;-9.080966e-01;-1.618956e+00;-2.085984e+00;6.674054e-01;-6.513748e-02;-5.621731e-01;-6.114871e-01;-6.340950e-01;-3.869132e-01;1.802574e+00;1.268093e+00;-2.166109e+00;-1.339189e+00;1.470940e+00;6.990200e-01;6.139717e-01;7.018413e-02;-2.595840e-01
'unknown';0.180000;5.056441e-01;8.451972e+00;-7.614725e+00;-2.990359e+00;-1.185767e+00;-9.074013e+00;9.960890e+00;-2.762956e+00;-1.110286e+01;-3.891815e+00;-4.286193e+00;-3.684715e+00;1.175305e+02;-4.478330e-01;-9.590656e-01;-9.648590e-02;-1.447422e+00;1.727340e+00;7.557603e-01;-4.708998e+00;-3.077566e+00;-2.246674e-01;1.474493e+00;3.088573e-01;1.546228e+00;-3.910774e-01;-4.606188e-01;-2.681474e-01;-8.742973e-01;9.793578e-02;1.278201e+00;1.711699e+00;4.301769e-01;-9.040523e-02;1.916088e+00;1.052505e+00;1.105939e+00;-3.921814e-01;-2.324043e-01
'unknown';0.190000;-2.962676e+00;1.100392e+01;-6.634083e+00;-6.365955e+00;2.735202e+00;-3.260633e+00;-7.083145e-01;-9.568308e+00;-5.544489e+00;-6.818521e+00;-4.328725e+00;-2.705299e+00;1.150370e+02;-1.042376e+00;-5.984163e-01;-1.211762e+00;-1.273496e+00;3.249084e+00;3.244399e+00;-2.943135e+00;-4.701863e+00;1.579290e+00;1.043211e+00;9.563866e-01;3.839033e-01;-5.727226e-01;-2.725473e-02;1.163443e-01;-4.687008e-01;4.043144e-01;5.648707e-02;4.497336e-01;2.272412e+00;9.905056e-01;1.161029e+00;5.758240e-01;1.266410e+00;-6.604924e-01;2.784218e-02
