,peak width,peak height,z-normalized peak width,z-normalized peak height
78,14.0,0.0009999999999999593,-0.4957885023043949,-0.595403211676073
79,14.0,0.0009999999999999593,-0.4957885023043949,-0.595403211676073
80,23.0,0.00700000000000002,0.9922422320238172,0.1866874705704799
81,23.0,0.00700000000000002,0.9922422320238172,0.1866874705704799
82,31.0,0.015999999999999986,2.3149362180933393,1.3598234939402931
83,31.0,0.015999999999999986,2.3149362180933393,1.3598234939402931
84,31.0,0.015999999999999986,2.3149362180933393,1.3598234939402931
85,31.0,0.015999999999999986,2.3149362180933393,1.3598234939402931
86,31.0,0.015999999999999986,2.3149362180933393,1.3598234939402931
87,31.0,0.015999999999999986,2.3149362180933393,1.3598234939402931
88,31.0,0.015999999999999986,2.3149362180933393,1.3598234939402931
89,31.0,0.015999999999999986,2.3149362180933393,1.3598234939402931
90,31.0,0.015999999999999986,2.3149362180933393,1.3598234939402931
91,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
92,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
93,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
94,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
95,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
96,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
97,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
98,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
99,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
100,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
101,23.0,0.008999999999999994,0.9922422320238172,0.4473843646526582
102,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
103,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
104,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
105,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
106,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
107,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
108,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
109,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
110,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
111,15.0,5.551115123125783e-17,-0.3304517540457047,-0.7257516587171513
112,13.0,0.0010000000000000148,-0.6611252505630851,-0.5954032116760658
113,13.0,0.00199999999999996,-0.6611252505630851,-0.4650547646349821
114,13.0,0.00199999999999996,-0.6611252505630851,-0.4650547646349821
115,13.0,0.00199999999999996,-0.6611252505630851,-0.4650547646349821
116,12.0,0.0009999999999999454,-0.8264619988217754,-0.5954032116760748
117,12.0,0.0009999999999999454,-0.8264619988217754,-0.5954032116760748
118,12.0,0.0009999999999999454,-0.8264619988217754,-0.5954032116760748
119,12.0,0.0009999999999999454,-0.8264619988217754,-0.5954032116760748
120,12.0,0.0009999999999999454,-0.8264619988217754,-0.5954032116760748
121,12.0,0.0009999999999999454,-0.8264619988217754,-0.5954032116760748
122,12.0,0.0009999999999999454,-0.8264619988217754,-0.5954032116760748
123,12.0,0.0009999999999999454,-0.8264619988217754,-0.5954032116760748
124,5.0,0.0009999999999999454,-1.983819236632607,-0.5954032116760748
125,10.0,0.0009999999999999454,-1.157135495339156,-0.5954032116760748
126,10.0,0.0009999999999999454,-1.157135495339156,-0.5954032116760748
127,16.0,0.0019999999999999463,-0.16511500578701446,-0.46505476463498385
128,26.0,0.001999999999999967,1.488252476799888,-0.46505476463498113
129,26.0,0.001999999999999967,1.488252476799888,-0.46505476463498113
130,26.0,0.001999999999999967,1.488252476799888,-0.46505476463498113
131,26.0,0.001999999999999967,1.488252476799888,-0.46505476463498113
